user_id,age,location_country
8,,canada
11400,49.0,canada
11676,,others
67544,30.0,canada
85526,36.0,canada
96054,29.0,canada
116866,,canada
123629,,canada
177458,29.0,canada
200273,,canada
210926,,canada
219008,60.0,canada
263325,27.0,canada
2954,71.0,usa
152827,40.0,canada
35704,53.0,usa
83160,65.0,usa
110912,36.0,usa
137688,46.0,usa
157969,30.0,usa
192665,47.0,usa
197659,49.0,usa
208059,,usa
209163,,usa
29526,26.0,usa
36836,56.0,usa
46398,37.0,usa
49300,,usa
49635,,usa
67958,39.0,usa
113270,25.0,usa
113519,,usa
115097,27.0,usa
136509,31.0,usa
148712,,usa
178269,,usa
180297,41.0,usa
188589,20.0,others
194722,,usa
198013,,usa
200674,58.0,usa
207148,42.0,usa
211919,38.0,usa
212449,,usa
213191,,usa
230522,52.0,usa
236322,,usa
238557,21.0,others
242247,42.0,usa
245827,,usa
248583,,canada
252282,42.0,usa
252921,22.0,usa
255661,34.0,usa
52614,33.0,usa
225910,19.0,usa
274634,33.0,usa
98499,,canada
166596,57.0,canada
189238,,others
223066,51.0,canada
92861,,canada
3363,29.0,usa
61501,,canada
148514,,usa
174304,26.0,usa
177090,37.0,usa
256233,,usa
263256,,usa
176875,31.0,others
213915,29.0,unitedkingdom
35826,,usa
226745,38.0,usa
9,,usa
243,,usa
388,35.0,usa
2977,25.0,usa
3329,,usa
6795,31.0,usa
7346,49.0,usa
7352,53.0,usa
9419,,usa
9747,,usa
9856,22.0,usa
11224,51.0,usa
12685,,usa
12923,39.0,usa
13552,32.0,usa
13582,29.0,others
14521,,usa
16666,,usa
16795,47.0,usa
17761,,usa
19445,,usa
20435,62.0,usa
20462,,usa
20801,29.0,others
20916,,usa
21264,31.0,usa
23511,56.0,usa
23768,45.0,usa
26240,,usa
26544,37.0,usa
26593,,usa
27684,,usa
28123,,usa
28619,,usa
29654,42.0,germany
30487,40.0,usa
30533,,usa
31299,74.0,usa
31315,34.0,usa
31556,51.0,usa
31560,,usa
31694,,usa
32516,44.0,usa
35857,36.0,usa
35859,,usa
36606,39.0,usa
37874,43.0,usa
38718,,usa
38991,68.0,usa
39345,47.0,usa
